<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	0.88822	0.89653	0.88556	0.89546	46991	0	15
2010.01.05	0.89547	0.90148	0.89443	0.89814	47217	0	15
2010.01.06	0.89823	0.90105	0.89250	0.89935	49614	0	15
2010.01.07	0.89937	0.90251	0.89774	0.89799	46223	0	15
2010.01.08	0.89798	0.89987	0.89215	0.89903	35715	0	15
2010.01.11	0.89725	0.90250	0.89706	0.90042	45983	0	16
2010.01.12	0.90040	0.90272	0.89550	0.89614	47532	0	15
2010.01.13	0.89614	0.89651	0.88932	0.89129	48446	0	15
2010.01.14	0.89098	0.89351	0.88664	0.88727	43173	0	15
2010.01.15	0.88726	0.88790	0.88095	0.88433	51660	0	15
2010.01.18	0.88169	0.88324	0.87816	0.88001	43764	0	16
2010.01.19	0.88002	0.88085	0.87122	0.87300	52483	0	15
2010.01.20	0.87298	0.87322	0.86503	0.86553	56247	0	16
2010.01.21	0.86555	0.87149	0.86533	0.86948	59092	0	16
2010.01.22	0.86956	0.87848	0.86856	0.87713	55102	0	15
2010.01.25	0.87851	0.87931	0.87024	0.87064	47914	0	15
2010.01.26	0.87065	0.87523	0.86664	0.87154	53786	0	17
2010.01.27	0.87154	0.87299	0.86577	0.86724	55778	0	15
2010.01.28	0.86727	0.86758	0.86018	0.86565	53532	0	15
2010.01.29	0.86569	0.86905	0.86287	0.86689	53592	0	15
2010.02.01	0.86914	0.87677	0.86819	0.87260	50008	0	16
2010.02.02	0.87261	0.87612	0.87087	0.87400	45041	0	16
2010.02.03	0.87405	0.87684	0.87090	0.87344	45162	0	16
2010.02.04	0.87338	0.87579	0.86976	0.87049	50484	0	16
2010.02.05	0.87050	0.87515	0.86859	0.87426	57767	0	16
2010.02.08	0.87535	0.87977	0.87321	0.87570	48583	0	16
2010.02.09	0.87572	0.88169	0.87538	0.87782	53264	0	16
2010.02.10	0.87806	0.88185	0.87454	0.88034	51187	0	16
2010.02.11	0.88038	0.88407	0.87006	0.87200	46744	0	16
2010.02.12	0.87202	0.87240	0.86576	0.86793	48689	0	15
2010.02.15	0.86905	0.87017	0.86695	0.86784	30681	0	15
2010.02.16	0.86787	0.87447	0.86782	0.87161	43837	0	15
2010.02.17	0.87164	0.87399	0.86691	0.86710	45968	0	15
2010.02.18	0.86706	0.87217	0.86628	0.87133	51130	0	15
2010.02.19	0.87138	0.88021	0.87043	0.87959	50663	0	15
2010.02.22	0.88067	0.88140	0.87604	0.87827	40414	0	15
2010.02.23	0.87828	0.88351	0.87492	0.87526	49974	0	15
2010.02.24	0.87526	0.88089	0.87503	0.87841	45962	0	15
2010.02.25	0.87845	0.88902	0.87713	0.88722	51110	0	15
2010.02.26	0.88723	0.89723	0.88671	0.89447	50875	0	15
2010.03.01	0.89869	0.91373	0.89657	0.90452	55084	0	15
2010.03.02	0.90454	0.91010	0.90174	0.90932	53249	0	15
2010.03.03	0.90935	0.90990	0.90488	0.90685	53602	0	15
2010.03.04	0.90686	0.90824	0.90168	0.90344	44879	0	15
2010.03.05	0.90344	0.90479	0.89803	0.89984	40117	0	15
2010.03.08	0.90079	0.90716	0.89952	0.90504	35967	0	10
2010.03.09	0.90500	0.90963	0.90462	0.90650	38312	0	16
2010.03.10	0.90651	0.91329	0.90590	0.91122	36692	0	15
2010.03.11	0.91122	0.91197	0.90627	0.90752	33397	0	15
2010.03.12	0.90755	0.91099	0.90438	0.90528	34789	0	16
2010.03.15	0.90658	0.91291	0.90460	0.90852	38545	0	15
2010.03.16	0.90859	0.91190	0.90239	0.90333	41443	0	15
2010.03.17	0.90338	0.90661	0.89534	0.89650	40273	0	16
2010.03.18	0.89644	0.89715	0.89148	0.89205	39848	0	15
2010.03.19	0.89209	0.90176	0.89205	0.90103	38122	0	16
2010.03.22	0.90164	0.90444	0.89701	0.89779	39706	0	15
2010.03.23	0.89786	0.90181	0.89654	0.89725	42647	0	15
2010.03.24	0.89723	0.89787	0.89097	0.89511	45529	0	15
2010.03.25	0.89509	0.89933	0.88900	0.89595	40809	0	16
2010.03.26	0.89597	0.90246	0.89559	0.90004	45483	0	16
2010.03.29	0.90057	0.90166	0.89720	0.89953	38375	0	15
2010.03.30	0.89953	0.89986	0.88796	0.89031	38726	0	16
2010.03.31	0.89023	0.89442	0.88711	0.88977	44707	0	15
2010.04.01	0.88982	0.89027	0.88417	0.88799	41428	0	16
2010.04.02	0.88799	0.88946	0.88665	0.88773	20547	0	15
2010.04.05	0.88344	0.88586	0.88135	0.88168	20773	0	16
2010.04.06	0.88169	0.88588	0.87647	0.87731	38894	0	15
2010.04.07	0.87727	0.88187	0.87504	0.87534	39256	0	15
2010.04.08	0.87539	0.87831	0.87370	0.87403	38683	0	16
2010.04.09	0.87399	0.87810	0.87048	0.87801	40623	0	15
2010.04.12	0.88133	0.88470	0.88045	0.88428	41298	0	15
2010.04.13	0.88429	0.88613	0.88033	0.88513	39289	0	15
2010.04.14	0.88513	0.88637	0.88056	0.88243	42245	0	15
2010.04.15	0.88247	0.88302	0.87498	0.87746	43004	0	15
2010.04.16	0.87743	0.87992	0.87455	0.87861	44460	0	16
2010.04.19	0.88121	0.88425	0.87877	0.87947	43520	0	15
2010.04.20	0.87949	0.88026	0.87337	0.87378	40003	0	16
2010.04.21	0.87381	0.87466	0.86838	0.86870	39811	0	15
2010.04.22	0.86870	0.86969	0.86222	0.86328	43705	0	15
2010.04.23	0.86331	0.87177	0.86071	0.87008	44911	0	15
2010.04.26	0.86715	0.86913	0.86027	0.86625	42057	0	15
2010.04.27	0.86631	0.86970	0.86266	0.86309	50892	0	15
2010.04.28	0.86310	0.87083	0.86303	0.86844	58212	0	16
2010.04.29	0.86843	0.87324	0.86297	0.86325	49490	0	15
2010.04.30	0.86314	0.87248	0.86232	0.87039	45089	0	15
2010.05.03	0.87031	0.87070	0.86399	0.86545	33511	0	15
2010.05.04	0.86543	0.86700	0.85653	0.85693	48797	0	15
2010.05.05	0.85688	0.85777	0.84741	0.84843	52187	0	10
2010.05.06	0.84850	0.85924	0.84274	0.85453	67865	0	15
2010.05.07	0.85452	0.88064	0.84401	0.86117	87430	0	18
2010.05.10	0.87103	0.87491	0.85454	0.86057	77571	0	15
2010.05.11	0.86051	0.86161	0.84492	0.84617	70662	0	15
2010.05.12	0.84615	0.85433	0.84448	0.85168	62111	0	16
2010.05.13	0.85155	0.85938	0.84974	0.85774	54301	0	16
2010.05.14	0.85777	0.86186	0.84953	0.85007	59522	0	16
2010.05.17	0.85007	0.85871	0.85001	0.85571	35528	0	16
2010.05.18	0.85570	0.86040	0.84995	0.85193	65339	0	15
2010.05.19	0.85191	0.86028	0.84938	0.85948	146837	0	8
2010.05.20	0.85942	0.87138	0.85629	0.86852	96789	0	8
2010.05.21	0.86862	0.87722	0.86483	0.86919	55044	0	18
2010.05.24	0.86692	0.86710	0.85624	0.85682	50762	0	16
2010.05.25	0.85686	0.85840	0.85104	0.85704	49987	0	18
2010.05.26	0.85707	0.85727	0.84535	0.84579	49502	0	15
2010.05.27	0.84582	0.85096	0.84214	0.84809	58707	0	17
2010.05.28	0.84810	0.85463	0.84443	0.84868	55651	0	11
2010.05.31	0.85064	0.85225	0.84422	0.84650	34719	0	15
2010.06.01	0.84639	0.84737	0.83227	0.83386	67444	0	15
2010.06.02	0.83397	0.83786	0.82787	0.83572	59765	0	16
2010.06.03	0.83573	0.83779	0.83156	0.83175	51907	0	16
2010.06.04	0.83175	0.83348	0.82516	0.82770	49889	0	16
2010.06.07	0.82822	0.82996	0.82105	0.82344	58876	0	16
2010.06.08	0.82344	0.83354	0.82312	0.82766	56534	0	16
2010.06.09	0.82766	0.82853	0.82408	0.82410	53189	0	14
2010.06.10	0.82420	0.82813	0.82219	0.82372	59137	0	15
2010.06.11	0.82369	0.83253	0.82099	0.83217	67960	0	15
2010.06.14	0.83224	0.83582	0.82842	0.82876	48512	0	15
2010.06.15	0.82870	0.83358	0.82614	0.83240	91163	0	8
2010.06.16	0.83234	0.83608	0.82852	0.83542	45788	0	14
2010.06.17	0.83537	0.83812	0.83380	0.83557	44861	0	15
2010.06.18	0.83553	0.83730	0.83252	0.83557	36890	0	15
2010.06.21	0.83616	0.83782	0.83294	0.83456	47606	0	15
2010.06.22	0.83469	0.83677	0.82749	0.82854	43629	0	15
2010.06.23	0.82842	0.82864	0.82012	0.82286	32386	0	15
2010.06.24	0.82284	0.82734	0.81800	0.82597	46603	0	15
2010.06.25	0.82595	0.82725	0.82027	0.82130	37781	0	15
2010.06.28	0.82220	0.82373	0.81194	0.81341	39064	0	12
2010.06.29	0.81341	0.81358	0.80670	0.80924	38187	0	15
2010.06.30	0.80925	0.82259	0.80893	0.81841	45567	0	15
2010.07.01	0.81841	0.82561	0.81661	0.82498	48688	0	14
2010.07.02	0.82498	0.82982	0.82174	0.82626	42389	0	13
2010.07.05	0.82604	0.82964	0.82516	0.82829	26857	0	15
2010.07.06	0.82832	0.83405	0.82635	0.83324	43118	0	15
2010.07.07	0.83320	0.83384	0.82910	0.83205	42693	0	15
2010.07.08	0.83206	0.83797	0.83101	0.83706	42926	0	10
2010.07.09	0.83704	0.83966	0.83328	0.83915	34306	0	13
