<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.03	0.88822	0.90251	0.88556	0.89903	225760	0	15
2010.01.10	0.89725	0.90272	0.88095	0.88433	236794	0	15
2010.01.17	0.88169	0.88324	0.86503	0.87713	266688	0	15
2010.01.24	0.87851	0.87931	0.86018	0.86689	264602	0	15
2010.01.31	0.86914	0.87684	0.86819	0.87426	248462	0	16
2010.02.07	0.87535	0.88407	0.86576	0.86793	248467	0	15
2010.02.14	0.86905	0.88021	0.86628	0.87959	222279	0	15
2010.02.21	0.88067	0.89723	0.87492	0.89447	238335	0	15
2010.02.28	0.89869	0.91373	0.89657	0.89984	246931	0	15
2010.03.07	0.90079	0.91329	0.89952	0.90528	179157	0	10
2010.03.14	0.90658	0.91291	0.89148	0.90103	198231	0	15
2010.03.21	0.90164	0.90444	0.88900	0.90004	214174	0	15
2010.03.28	0.90057	0.90166	0.88417	0.88773	183783	0	15
2010.04.04	0.88344	0.88588	0.87048	0.87801	178229	0	15
2010.04.11	0.88133	0.88637	0.87455	0.87861	210296	0	15
2010.04.18	0.88121	0.88425	0.86071	0.87008	211950	0	15
2010.04.25	0.86715	0.87324	0.86027	0.87039	245740	0	15
2010.05.02	0.87031	0.88064	0.84274	0.86117	289790	0	10
2010.05.09	0.87103	0.87491	0.84448	0.85007	324167	0	15
2010.05.16	0.85007	0.87722	0.84938	0.86919	399537	0	8
2010.05.23	0.86692	0.86710	0.84214	0.84868	264609	0	11
2010.05.30	0.85064	0.85225	0.82516	0.82770	263724	0	15
2010.06.06	0.82822	0.83354	0.82099	0.83217	295696	0	14
2010.06.13	0.83224	0.83812	0.82614	0.83557	267214	0	8
2010.06.20	0.83616	0.83782	0.81800	0.82130	208005	0	15
2010.06.27	0.82220	0.82982	0.80670	0.82626	213895	0	12
2010.07.04	0.82604	0.83966	0.82516	0.83915	189900	0	10
2010.07.11	0.83900	0.84601	0.83154	0.84486	283246	0	8
2010.07.18	0.84350	0.85309	0.83171	0.83678	212963	0	15
2010.07.25	0.83644	0.84150	0.83024	0.83152	205926	0	15
2010.08.01	0.83039	0.83367	0.82538	0.83274	177893	0	15
2010.08.08	0.83110	0.83616	0.81739	0.81766	200986	0	15
2010.08.15	0.81850	0.82816	0.81725	0.81808	203767	0	15
2010.08.22	0.81755	0.82355	0.81414	0.82160	207048	0	15
2010.08.29	0.82140	0.83490	0.81615	0.83433	159527	0	15
2010.09.05	0.83466	0.83893	0.82015	0.82554	157178	0	15
2010.09.12	0.82720	0.84024	0.82697	0.83461	191916	0	15
2010.09.19	0.83330	0.85766	0.83290	0.85238	149042	0	15
2010.09.26	0.85170	0.87173	0.84666	0.87162	204061	0	15
2010.10.03	0.87220	0.88042	0.86264	0.87280	202158	0	15
2010.10.10	0.87700	0.88383	0.86976	0.87402	184170	0	15
2010.10.17	0.87404	0.89068	0.87048	0.88942	241331	0	15
