<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	1.43259	1.44543	1.42569	1.44111	45505	0	10
2010.01.05	1.44107	1.44830	1.43467	1.43624	46686	0	10
2010.01.06	1.43632	1.44338	1.42831	1.43998	45435	0	9
2010.01.07	1.44001	1.44456	1.42994	1.43041	44298	0	10
2010.01.08	1.43039	1.44263	1.42634	1.44085	34425	0	9
2010.01.11	1.44125	1.45545	1.44121	1.45120	45827	0	9
2010.01.12	1.45128	1.45448	1.44537	1.44920	46203	0	9
2010.01.13	1.44918	1.45785	1.44561	1.45052	46521	0	9
2010.01.14	1.45105	1.45547	1.44478	1.44978	44172	0	8
2010.01.15	1.44978	1.45108	1.43365	1.43857	47001	0	8
2010.01.18	1.43480	1.43995	1.43348	1.43872	32948	0	9
2010.01.19	1.43881	1.44131	1.42527	1.42869	49145	0	9
2010.01.20	1.42869	1.42890	1.40818	1.41062	56564	0	9
2010.01.21	1.41062	1.41415	1.40285	1.40837	57999	0	9
2010.01.22	1.40833	1.41807	1.40662	1.41363	53667	0	8
2010.01.25	1.41523	1.41938	1.41278	1.41481	42566	0	9
2010.01.26	1.41476	1.41784	1.40422	1.40770	51832	0	9
2010.01.27	1.40773	1.40963	1.39935	1.40327	54404	0	9
2010.01.28	1.40332	1.40518	1.39464	1.39609	52813	0	9
2010.01.29	1.39616	1.39870	1.38610	1.38611	50938	0	9
2010.02.01	1.38627	1.39376	1.38521	1.39325	46608	0	9
2010.02.02	1.39329	1.39738	1.38858	1.39671	43884	0	9
2010.02.03	1.39675	1.40255	1.38855	1.38912	42636	0	9
2010.02.04	1.38894	1.39023	1.37149	1.37273	46903	0	9
2010.02.05	1.37277	1.37448	1.35854	1.36776	57504	0	9
2010.02.08	1.36561	1.37128	1.36210	1.36552	47960	0	9
2010.02.09	1.36550	1.38380	1.36488	1.37938	54293	0	9
