<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.03	1.43259	1.44830	1.42569	1.44085	216349	0	9
2010.01.10	1.44125	1.45785	1.43365	1.43857	229724	0	8
2010.01.17	1.43480	1.44131	1.40285	1.41363	250323	0	8
2010.01.24	1.41523	1.41938	1.38610	1.38611	252553	0	9
2010.01.31	1.38627	1.40255	1.35854	1.36776	237535	0	9
2010.02.07	1.36561	1.38380	1.35311	1.36309	249618	0	8
2010.02.14	1.36158	1.37881	1.34433	1.36116	225199	0	8
2010.02.21	1.36133	1.36913	1.34504	1.36310	231398	0	8
2010.02.28	1.36222	1.37351	1.34349	1.36198	228230	0	8
2010.03.07	1.36307	1.37954	1.35370	1.37678	162343	0	8
2010.03.14	1.37612	1.38171	1.35029	1.35301	184704	0	9
2010.03.21	1.35174	1.35687	1.32671	1.34075	205760	0	8
2010.03.28	1.34719	1.35904	1.33841	1.35030	176113	0	8
2010.04.04	1.34900	1.35378	1.32821	1.34984	170707	0	9
2010.04.11	1.36107	1.36913	1.34726	1.35017	208873	0	9
2010.04.18	1.34769	1.35222	1.32016	1.33811	200306	0	9
2010.04.25	1.33460	1.34147	1.31141	1.32936	243903	0	8
2010.05.02	1.33296	1.33326	1.25270	1.27518	298888	0	8
2010.05.09	1.29299	1.30934	1.23529	1.23566	314472	0	9
2010.05.16	1.23485	1.26711	1.21435	1.25712	374158	0	10
2010.05.23	1.25461	1.25622	1.21534	1.22720	266022	0	8
2010.05.30	1.22807	1.23487	1.19551	1.19671	272240	1237300000	8
2010.06.06	1.19460	1.21521	1.18758	1.21112	316404	0	8
2010.06.13	1.21188	1.24156	1.21155	1.23875	270708	0	8
2010.06.20	1.24291	1.24664	1.22090	1.23681	217772	0	8
2010.06.27	1.23781	1.26106	1.21495	1.25655	234190	0	7
2010.07.04	1.25558	1.27218	1.24796	1.26404	189642	0	7
2010.07.11	1.26413	1.30063	1.25219	1.29296	308877	0	7
2010.07.18	1.29040	1.30275	1.27318	1.29086	213396	0	7
2010.07.25	1.28940	1.31060	1.28761	1.30504	206938	0	8
2010.08.01	1.30596	1.33327	1.30533	1.32781	175776	0	6
2010.08.08	1.32880	1.33070	1.27494	1.27531	201495	0	7
2010.08.15	1.27650	1.29214	1.26634	1.27105	206021	0	7
2010.08.22	1.27050	1.27778	1.25874	1.27617	210442	0	5
2010.08.29	1.27641	1.28969	1.26250	1.28951	162228	0	5
2010.09.05	1.28934	1.29167	1.26434	1.26784	166897	0	5
2010.09.12	1.27050	1.31584	1.27040	1.30487	213717	0	7
2010.09.19	1.30460	1.34945	1.30288	1.34919	182346	0	6
2010.09.26	1.34820	1.37915	1.33810	1.37900	232903	0	6
2010.10.03	1.37877	1.40285	1.36367	1.39280	249632	0	7
2010.10.10	1.40020	1.41505	1.37752	1.39762	223958	0	8
2010.10.17	1.39727	1.40495	1.36975	1.39528	277699	0	7
2010.10.24	1.39516	1.40795	1.37338	1.39459	306137	0	7
2010.10.31	1.39703	1.42813	1.38636	1.40314	348701	0	8
2010.11.07	1.40538	1.40846	1.35735	1.36900	396564	0	8
2010.11.14	1.36829	1.37497	1.34475	1.36718	392533	0	8
2010.11.21	1.37355	1.37853	1.32003	1.32402	406871	0	9
2010.11.28	1.32750	1.34373	1.29694	1.34136	458788	0	9
2010.12.05	1.34078	1.34216	1.31645	1.32262	424403	0	7
2010.12.12	1.32052	1.34966	1.31328	1.31873	385836	0	4
2010.12.19	1.31661	1.32006	1.30549	1.31209	299467	0	8
2010.12.26	1.31129	1.34223	1.30718	1.33827	269494	0	9
2011.01.02	1.33443	1.34330	1.29044	1.29055	383714	0	8
2011.01.09	1.28939	1.34562	1.28736	1.33875	405633	0	8
2011.01.16	1.33704	1.36238	1.32448	1.36196	426252	0	6
2011.01.23	1.36097	1.37573	1.35399	1.36102	447361	0	5
2011.01.30	1.35800	1.38607	1.35436	1.35800	402459	0	8
2011.02.06	1.35686	1.37424	1.34972	1.35513	278582	0	8
2011.02.13	1.35240	1.37138	1.34279	1.36923	322173	0	8
