<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	1.61210	1.61486	1.61188	1.61368	1244	0	24
2010.01.04	01:00:00	1.61366	1.61439	1.61043	1.61182	2134	0	26
2010.01.04	02:00:00	1.61183	1.61186	1.60870	1.60877	2375	0	26
2010.01.04	03:00:00	1.60876	1.61166	1.60852	1.61087	1718	0	26
2010.01.04	04:00:00	1.61087	1.61090	1.60691	1.60880	1188	0	25
2010.01.04	05:00:00	1.60884	1.60992	1.60794	1.60878	1421	0	25
2010.01.04	06:00:00	1.60877	1.60974	1.60820	1.60913	1372	0	24
2010.01.04	07:00:00	1.60912	1.61050	1.60707	1.60850	1985	0	25
2010.01.04	08:00:00	1.60851	1.61082	1.60554	1.60924	3027	0	25
2010.01.04	09:00:00	1.60912	1.61549	1.60898	1.61505	3495	0	24
2010.01.04	10:00:00	1.61507	1.62095	1.61501	1.62026	3582	0	24
2010.01.04	11:00:00	1.62021	1.62380	1.61658	1.61744	3596	0	24
2010.01.04	12:00:00	1.61748	1.62245	1.61748	1.62188	3092	0	24
2010.01.04	13:00:00	1.62187	1.62211	1.61375	1.61595	3506	0	24
2010.01.04	14:00:00	1.61549	1.61748	1.61392	1.61613	3036	0	25
2010.01.04	15:00:00	1.61615	1.61922	1.61516	1.61656	3287	0	24
2010.01.04	16:00:00	1.61651	1.61877	1.61131	1.61183	4161	0	24
2010.01.04	17:00:00	1.61184	1.61296	1.60822	1.61042	3222	0	23
2010.01.04	18:00:00	1.61045	1.61251	1.61029	1.61251	1843	0	25
2010.01.04	19:00:00	1.61253	1.61280	1.60956	1.60958	1563	0	25
2010.01.04	20:00:00	1.60959	1.61188	1.60899	1.60916	1463	0	24
2010.01.04	21:00:00	1.60918	1.61028	1.60891	1.60986	1240	0	25
2010.01.04	22:00:00	1.60985	1.60988	1.60814	1.60814	1178	0	24
2010.01.04	23:00:00	1.60813	1.60953	1.60813	1.60877	810	0	25
2010.01.05	00:00:00	1.60875	1.61106	1.60825	1.61104	1052	0	24
2010.01.05	01:00:00	1.61105	1.61346	1.61004	1.61027	1846	0	25
2010.01.05	02:00:00	1.61026	1.61027	1.60641	1.60758	1819	0	25
2010.01.05	03:00:00	1.60757	1.60939	1.60676	1.60931	1649	0	25
2010.01.05	04:00:00	1.60931	1.60961	1.60826	1.60844	1221	0	24
