<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.03	1.61210	1.62380	1.58961	1.60212	261752	0	20
2010.01.10	1.60585	1.63536	1.60585	1.62627	274240	0	20
2010.01.17	1.62700	1.64561	1.60777	1.61121	301328	0	20
2010.01.24	1.61060	1.62746	1.59781	1.59827	298304	0	20
2010.01.31	1.59464	1.60681	1.55582	1.56397	283289	0	20
2010.02.07	1.55973	1.57631	1.55340	1.56997	295536	0	20
2010.02.14	1.56651	1.58146	1.53501	1.54725	264532	0	20
2010.02.21	1.54547	1.55745	1.51518	1.52351	290388	0	15
2010.02.28	1.51539	1.52027	1.47838	1.51374	293490	0	15
2010.03.07	1.51311	1.52165	1.48721	1.52031	230288	0	17
2010.03.14	1.51758	1.53816	1.49771	1.50124	247550	0	15
2010.03.21	1.49935	1.51113	1.47983	1.48945	267394	0	18
2010.03.28	1.49540	1.52974	1.48913	1.52063	225022	0	18
2010.04.04	1.52658	1.53901	1.51282	1.53673	221877	0	15
2010.04.11	1.54378	1.55218	1.53356	1.53615	250281	0	17
2010.04.18	1.52906	1.54717	1.51912	1.53750	265208	0	18
2010.04.25	1.53860	1.54968	1.51251	1.52708	288786	0	15
2010.05.02	1.53120	1.53145	1.44751	1.48026	347894	0	15
2010.05.09	1.48384	1.50534	1.44949	1.45346	377439	0	15
2010.05.16	1.45244	1.45408	1.42323	1.44587	376362	0	20
2010.05.23	1.44651	1.46092	1.42584	1.44562	313868	0	19
2010.05.30	1.44308	1.47690	1.44266	1.44537	319194	1010950000	10
2010.06.06	1.44183	1.47578	1.43456	1.45500	348066	0	19
2010.06.13	1.45535	1.48852	1.45501	1.48223	334205	49735900000	11
2010.06.20	1.48575	1.50756	1.46866	1.50601	289027	0	15
2010.06.27	1.50538	1.52282	1.48730	1.51938	267585	0	14
2010.07.04	1.51940	1.52401	1.50500	1.50627	200732	0	8
2010.07.11	1.50617	1.54706	1.49478	1.52995	286036	75717770000	8
2010.07.18	1.52885	1.54484	1.51235	1.54253	231655	0	15
2010.07.25	1.54136	1.57200	1.54091	1.56878	217561	0	15
2010.08.01	1.57250	1.59970	1.56949	1.59406	190892	0	15
2010.08.08	1.59849	1.59930	1.55610	1.55897	215011	0	15
2010.08.15	1.55880	1.57011	1.54644	1.55325	222909	0	15
2010.08.22	1.55384	1.56169	1.53718	1.55274	215552	0	15
